Name,Age,Gender,Salary,Joining_Date,City
Dr. Brandy Johnson,38.0,Other,66299.18,2022-08-01,Nicholaschester
Lacey Jones,,other,147655.28,2023-02-26,Lauraland
Donald Johnson,47.0,,104133.77,2021-05-07,New Brenda
Beverly Murphy,,Female,,2024-05-05,Williamsborough
Valerie Aguilar,43.0,female,82225.48,2022-02-23,Toddberg
Stephen Brady,,Male,,2023-06-14,South Rebeccaside
Emily Johnson,,female,56023.35,2024-04-01,Port Sheryl
Julia Stewart,37.0,,,2022-05-28,Amandafurt
Erin Hahn,51.0,other,95426.46,2021-07-14,Lake William
Henry Garcia,46.0,,62449.53,2024-01-10,Port Brandonhaven
Robert Sanchez,48.0,other,,2020-02-13,North Melissa
,,Female,46533.75,2021-09-17,Williammouth
Mr. Micheal Rice,23.0,Male,147873.83,2020-09-22,Lake Robert
Rebekah Lawson,32.0,Female,31178.77,2020-02-16,North Kelly
,47.0,Other,130822.81,,North Amberfurt
Charles Miller,25.0,Other,,,Colemanstad
Michaela Summers,48.0,other,,,Joditon
Susan Erickson,34.0,other,85767.97,2022-02-23,East Jenniferview
Sharon Franklin,,Female,117335.59,2021-07-03,Port Sarah
Theresa Foster,26.0,Other,143380.93,2021-12-18,Pamelaberg
Heidi Carpenter,31.0,female,,2022-05-20,South Jasonfurt
Ryan Smith,,male,75730.56,,Haleyshire
Kathy Hall,,female,91848.4,2020-03-30,South Melissa
Jeremiah Bryant,49.0,Male,61443.27,2021-02-11,Hernandezport
Christy Gonzalez,62.0,,,2024-01-02,Parkershire
,50.0,Male,121737.68,,Madisonhaven
Jason Carroll,31.0,,,,Michaelton
Mallory Williams,43.0,Female,,,Corteztown
Robert Sparks,36.0,Male,,2021-02-17,North Kimberlybury
Jennifer Chavez,50.0,Other,,,South Todd
Christian Sanders,44.0,other,,2022-03-05,Leefurt
Mary Fuller,34.0,Female,,2020-01-23,New Devinshire
Blake Sanders,45.0,male,72960.94,,Perkinston
Gabrielle Sanchez,,Female,46533.75,2021-09-17,Williammouth
Donald Johnson,47.0,,104133.77,2021-05-07,New Brenda
Tammie Booth,,other,52941.11,2023-10-27,Timothyburgh
